Region Name;Uncertainty bounds;1990.5;1991.5;1992.5;1993.5;1994.5;1995.5;1996.5;1997.5;1998.5;1999.5;2000.5;2001.5;2002.5;2003.5;2004.5;2005.5;2006.5;2007.5;2008.5;2009.5;2010.5;2011.5;2012.5;2013.5;2014.5;2015.5;2016.5
Sub-Saharan Africa;Lower;177.2;175.6;174.1;172.7;172.2;169.6;166.6;164.1;160.9;156.5;151.9;146.6;141;135.3;129.5;123.7;118.1;112.6;107.2;102;96.9;92.1;87.6;83.5;79.5;76;72.7
Sub-Saharan Africa;Median;180.7;179.1;177.5;176;175.5;172.9;169.8;167.2;164;159.6;154.9;149.6;143.9;138.1;132.3;126.5;120.9;115.5;110.3;105.3;100.6;96.1;92;88.1;84.6;81.4;78.4
Sub-Saharan Africa;Upper;184.6;183;181.4;179.9;179.3;176.7;173.6;170.9;167.6;163.1;158.4;153;147.4;141.5;135.7;129.9;124.3;119;114.1;109.6;105.3;101.4;97.9;94.8;92.1;89.8;87.8
West and Central Africa;Lower;192.7;191.3;190;188.7;187.1;185.2;182.9;180;176.4;172.3;167.6;162.5;157.1;151.5;145.8;140.1;134.5;128.9;123.1;117.4;111.8;106.4;101.3;96.4;91.9;87.5;83.4
West and Central Africa;Median;198.7;197.2;195.8;194.4;192.8;190.8;188.4;185.3;181.7;177.6;172.9;167.7;162.2;156.5;150.9;145.1;139.5;133.9;128.6;123.4;118.5;113.9;109.5;105.4;101.7;98.1;94.7
West and Central Africa;Upper;205.2;203.8;202.3;200.8;199.2;197.1;194.6;191.5;187.8;183.5;178.7;173.4;167.7;162;156.2;150.5;144.8;139.6;134.7;130.2;126.1;122.4;119.3;116.5;114;112;110.3
Eastern and Southern Africa;Lower;160.2;158.5;156.7;155.2;155.5;152.5;148.8;146.6;143.7;139.1;134.4;129;123.2;117.2;111.1;105.2;99.5;94;88.6;83.7;78.8;74.3;70.1;66.3;62.8;59.7;57
Eastern and Southern Africa;Median;164.1;162.4;160.6;158.9;159.3;156.1;152.4;150.1;147.2;142.5;137.7;132.1;126.3;120.2;114.2;108.2;102.6;97.1;91.9;87.1;82.4;78;74;70.3;66.9;64;61.4
Eastern and Southern Africa;Upper;168.5;166.7;164.9;163.3;163.6;160.4;156.5;154.2;151.2;146.4;141.5;136;130;123.9;117.8;111.9;106.3;101;96.1;91.6;87.3;83.4;79.8;76.6;73.7;71.2;69.2
Middle East and North Africa;Lower;63.9;61.1;58.6;56.2;53.8;51.6;49.4;47.3;45.3;43.3;41.3;39.5;37.7;36.1;34.5;32.9;31.5;30.1;28.8;27.5;26.5;25.6;24.8;24.1;23.3;22.6;21.9
Middle East and North Africa;Median;65.5;62.7;60.1;57.7;55.3;53;50.7;48.6;46.5;44.5;42.6;40.7;38.9;37.2;35.6;34.1;32.6;31.2;29.9;28.8;27.8;27;26.3;25.7;25.1;24.5;24
Middle East and North Africa;Upper;67.3;64.4;61.7;59.2;56.8;54.4;52.1;50;47.9;45.8;43.8;42;40.2;38.4;36.8;35.3;33.9;32.5;31.3;30.2;29.4;28.7;28.3;27.9;27.7;27.5;27.4
South Asia;Lower;126.3;122.6;119.1;115.7;112.2;108.8;105.3;101.8;98.2;94.6;91.1;87.7;84.3;81.1;78.1;74.9;71.9;69;66.2;63.3;60.6;57.8;55;52.2;49.3;46.6;44
South Asia;Median;129.4;125.7;122.1;118.6;115.1;111.6;108.1;104.5;100.9;97.3;93.7;90.1;86.7;83.5;80.4;77.2;74.2;71.3;68.4;65.7;62.9;60.3;57.6;55.1;52.6;50.3;48.1
South Asia;Upper;132.7;128.9;125.2;121.7;118.1;114.6;111;107.4;103.7;100;96.3;92.8;89.4;86.1;83;79.8;76.8;73.9;71;68.2;65.5;63;60.6;58.3;56.3;54.5;52.9
East Asia and Pacific;Lower;54.2;53.4;52.2;50.8;49.3;47.7;46;44.3;42.6;40.7;38.7;36.6;34.5;32.4;31.3;28.5;26.7;25.2;24.4;22.4;21.2;20;18.9;17.9;16.9;16;15.1
East Asia and Pacific;Median;57;55.8;54.4;52.7;51.1;49.3;47.5;45.8;43.9;42;40;37.8;35.6;33.4;32.3;29.5;27.7;26.1;25.3;23.3;22;20.9;19.8;18.8;17.9;17.1;16.3
East Asia and Pacific;Upper;60.1;58.6;56.8;54.9;53;51.1;49.3;47.4;45.5;43.5;41.4;39.1;36.9;34.6;33.5;30.5;28.7;27.1;26.3;24.2;23;21.9;20.8;20;19.2;18.6;18.1
Latin America and Caribbean;Lower;53.7;51.5;49.2;46.9;44.6;42.4;40.3;38.2;36.6;34.6;32.6;30.9;29.4;28;26.7;25.5;24.4;23.4;22.5;21.7;24;20.1;19.4;18.6;17.9;17.2;16.6
Latin America and Caribbean;Median;55.3;53;50.6;48.2;45.9;43.6;41.4;39.2;37.6;35.5;33.4;31.7;30.2;28.7;27.4;26.2;25;24;23.1;22.3;24.9;20.7;20;19.3;18.7;18.1;17.5
Latin America and Caribbean;Upper;57;54.5;52.1;49.7;47.3;44.9;42.6;40.4;38.7;36.5;34.4;32.6;31;29.5;28.2;26.9;25.8;24.8;23.8;23;25.9;21.5;20.8;20.3;19.7;19.3;18.9
North America;Lower;10.8;10.4;10.1;9.7;9.4;9.1;8.8;8.6;8.4;8.3;8.1;8;7.9;7.9;7.8;7.7;7.6;7.5;7.4;7.2;7.1;6.9;6.8;6.6;6.5;6.3;6
North America;Median;10.9;10.6;10.3;9.9;9.6;9.3;9;8.7;8.5;8.4;8.2;8.1;8;7.9;7.9;7.9;7.8;7.6;7.5;7.3;7.2;7.1;6.9;6.8;6.7;6.5;6.4
North America;Upper;11.2;10.8;10.4;10;9.7;9.4;9.1;8.9;8.7;8.5;8.4;8.3;8.2;8.1;8;8;7.8;7.7;7.6;7.5;7.3;7.2;7;6.9;6.8;6.8;6.7
Europe and Central Asia;Lower;30.2;29.5;29;28.5;27.8;26.9;25.9;24.8;23.6;22.4;21.1;19.9;18.7;17.6;16.6;15.6;14.8;14;13.3;12.7;12.1;11.5;11;10.5;10;9.5;9
Europe and Central Asia;Median;30.9;30.3;29.8;29.3;28.6;27.7;26.6;25.5;24.3;23;21.8;20.6;19.4;18.3;17.3;16.3;15.5;14.7;14;13.4;12.7;12.2;11.6;11.1;10.6;10.1;9.7
Europe and Central Asia;Upper;31.9;31.2;30.7;30.2;29.5;28.6;27.5;26.4;25.1;23.9;22.6;21.4;20.3;19.2;18.2;17.3;16.4;15.6;14.9;14.3;13.7;13.1;12.6;12.1;11.7;11.3;10.9
