Region Name;Uncertainty bounds;1990.5;1991.5;1992.5;1993.5;1994.5;1995.5;1996.5;1997.5;1998.5;1999.5;2000.5;2001.5;2002.5;2003.5;2004.5;2005.5;2006.5;2007.5;2008.5;2009.5;2010.5;2011.5;2012.5;2013.5;2014.5;2015.5;2016.5
Sub-Saharan Africa;Lower;177.20;175.60;174.10;172.70;172.20;169.60;166.60;164.10;160.90;156.50;151.90;146.60;141.00;135.30;129.50;123.70;118.10;112.60;107.20;102.00;96.90;92.10;87.60;83.50;79.50;76.00;72.70
Sub-Saharan Africa;Median;180.70;179.10;177.50;176.00;175.50;172.90;169.80;167.20;164.00;159.60;154.90;149.60;143.90;138.10;132.30;126.50;120.90;115.50;110.30;105.30;100.60;96.10;92.00;88.10;84.60;81.40;78.40
Sub-Saharan Africa;Upper;184.60;183.00;181.40;179.90;179.30;176.70;173.60;170.90;167.60;163.10;158.40;153.00;147.40;141.50;135.70;129.90;124.30;119.00;114.10;109.60;105.30;101.40;97.90;94.80;92.10;89.80;87.80
Sub-Saharan Africa;Average;180.83;179.23;177.67;176.20;175.67;173.07;170.00;167.40;164.17;159.73;155.07;149.73;144.10;138.30;132.50;126.70;121.10;115.70;110.53;105.63;100.93;96.53;92.50;88.80;85.40;82.40;79.63
West and Central Africa;Lower;192.70;191.30;190.00;188.70;187.10;185.20;182.90;180.00;176.40;172.30;167.60;162.50;157.10;151.50;145.80;140.10;134.50;128.90;123.10;117.40;111.80;106.40;101.30;96.40;91.90;87.50;83.40
West and Central Africa;Median;198.70;197.20;195.80;194.40;192.80;190.80;188.40;185.30;181.70;177.60;172.90;167.70;162.20;156.50;150.90;145.10;139.50;133.90;128.60;123.40;118.50;113.90;109.50;105.40;101.70;98.10;94.70
West and Central Africa;Upper;205.20;203.80;202.30;200.80;199.20;197.10;194.60;191.50;187.80;183.50;178.70;173.40;167.70;162.00;156.20;150.50;144.80;139.60;134.70;130.20;126.10;122.40;119.30;116.50;114.00;112.00;110.30
West and Central Africa;Average;198.87;197.43;196.03;194.63;193.03;191.03;188.63;185.60;181.97;177.80;173.07;167.87;162.33;156.67;150.97;145.23;139.60;134.13;128.80;123.67;118.80;114.23;110.03;106.10;102.53;99.20;96.13
Eastern and Southern Africa;Lower;160.20;158.50;156.70;155.20;155.50;152.50;148.80;146.60;143.70;139.10;134.40;129.00;123.20;117.20;111.10;105.20;99.50;94.00;88.60;83.70;78.80;74.30;70.10;66.30;62.80;59.70;57.00
Eastern and Southern Africa;Median;164.10;162.40;160.60;158.90;159.30;156.10;152.40;150.10;147.20;142.50;137.70;132.10;126.30;120.20;114.20;108.20;102.60;97.10;91.90;87.10;82.40;78.00;74.00;70.30;66.90;64.00;61.40
Eastern and Southern Africa;Upper;168.50;166.70;164.90;163.30;163.60;160.40;156.50;154.20;151.20;146.40;141.50;136.00;130.00;123.90;117.80;111.90;106.30;101.00;96.10;91.60;87.30;83.40;79.80;76.60;73.70;71.20;69.20
Eastern and Southern Africa;Average;164.27;162.53;160.73;159.13;159.47;156.33;152.57;150.30;147.37;142.67;137.87;132.37;126.50;120.43;114.37;108.43;102.80;97.37;92.20;87.47;82.83;78.57;74.63;71.07;67.80;64.97;62.53
Middle East and North Africa;Lower;63.90;61.10;58.60;56.20;53.80;51.60;49.40;47.30;45.30;43.30;41.30;39.50;37.70;36.10;34.50;32.90;31.50;30.10;28.80;27.50;26.50;25.60;24.80;24.10;23.30;22.60;21.90
Middle East and North Africa;Median;65.50;62.70;60.10;57.70;55.30;53.00;50.70;48.60;46.50;44.50;42.60;40.70;38.90;37.20;35.60;34.10;32.60;31.20;29.90;28.80;27.80;27.00;26.30;25.70;25.10;24.50;24.00
Middle East and North Africa;Upper;67.30;64.40;61.70;59.20;56.80;54.40;52.10;50.00;47.90;45.80;43.80;42.00;40.20;38.40;36.80;35.30;33.90;32.50;31.30;30.20;29.40;28.70;28.30;27.90;27.70;27.50;27.40
Middle East and North Africa;Average;65.57;62.73;60.13;57.70;55.30;53.00;50.73;48.63;46.57;44.53;42.57;40.73;38.93;37.23;35.63;34.10;32.67;31.27;30.00;28.83;27.90;27.10;26.47;25.90;25.37;24.87;24.43
South Asia;Lower;126.30;122.60;119.10;115.70;112.20;108.80;105.30;101.80;98.20;94.60;91.10;87.70;84.30;81.10;78.10;74.90;71.90;69.00;66.20;63.30;60.60;57.80;55.00;52.20;49.30;46.60;44.00
South Asia;Median;129.40;125.70;122.10;118.60;115.10;111.60;108.10;104.50;100.90;97.30;93.70;90.10;86.70;83.50;80.40;77.20;74.20;71.30;68.40;65.70;62.90;60.30;57.60;55.10;52.60;50.30;48.10
South Asia;Upper;132.70;128.90;125.20;121.70;118.10;114.60;111.00;107.40;103.70;100.00;96.30;92.80;89.40;86.10;83.00;79.80;76.80;73.90;71.00;68.20;65.50;63.00;60.60;58.30;56.30;54.50;52.90
South Asia;Average;129.47;125.73;122.13;118.67;115.13;111.67;108.13;104.57;100.93;97.30;93.70;90.20;86.80;83.57;80.50;77.30;74.30;71.40;68.53;65.73;63.00;60.37;57.73;55.20;52.73;50.47;48.33
East Asia and Pacific;Lower;54.20;53.40;52.20;50.80;49.30;47.70;46.00;44.30;42.60;40.70;38.70;36.60;34.50;32.40;31.30;28.50;26.70;25.20;24.40;22.40;21.20;20.00;18.90;17.90;16.90;16.00;15.10
